followee,country,count,rank
15253147,United Kingdom,1477,69
22594051,Malaysia,1476,4
25103967,United Kingdom,1476,70
813286,China,1474,3
47319664,United Kingdom,1469,71
19106719,China,1467,4
87118217,Australia,1465,59
821045162,Brazil,1460,7
59419156,Singapore,1459,45
1481025810,Japan,1452,1
18901882,Malaysia,1444,5
16898427,China,1439,5
972651,Australia,1438,60
260907612,United States,1437,27
783214,China,1429,6
19562228,United Kingdom,1429,72
5920532,United States,1428,28
14589119,China,1428,7
216299334,United Kingdom,1428,73
20626359,Australia,1427,61
14511951,Australia,1426,62
428333,Indonesia,1424,45
14589119,Greece,1421,1
218730857,Indonesia,1421,46
428333,China,1420,8
14230524,Singapore,1417,46
113292385,Thailand,1414,5
11348282,Australia,1413,63
180505807,Malaysia,1412,6
20626359,United States,1411,29
20015311,United Kingdom,1408,74
17919972,Australia,1406,64
5988062,United States,1400,30
821045162,Netherlands,1399,4
1652541,United States,1398,31
28706024,Australia,1398,65
3108351,United States,1396,32
45621423,Netherlands,1390,5
69183155,Thailand,1389,6
14589119,Pakistan,1388,1
17940246,Malaysia,1384,7
79293791,United Kingdom,1384,75
19110632,United Kingdom,1383,76
103065157,United Kingdom,1381,77
87096507,Singapore,1377,47
180505807,China,1375,9
15731526,Singapore,1374,48
36184220,United Kingdom,1373,78
16211434,United Kingdom,1372,79
21447363,Indonesia,1372,47
15066760,Singapore,1371,49
166739404,Singapore,1371,50
14230524,United States,1366,33
20584172,Brazil,1364,8
16898427,Singapore,1361,51
20536157,Australia,1361,66
91478624,Singapore,1358,52
180505807,Thailand,1358,7
1527152922,Singapore,1358,53
18953259,United Kingdom,1350,80
8802752,Brazil,1348,9
10228272,Malaysia,1341,8
76577609,Singapore,1340,54
124476322,United States,1339,34
17336417,United Kingdom,1336,81
20536157,United Kingdom,1334,82
5920532,Brazil,1332,10
17471979,United States,1327,35
17219108,United Kingdom,1326,83
260907612,Brazil,1320,11
972651,Singapore,1319,55
15485441,Australia,1316,67
213969309,United Kingdom,1315,84
15492359,Australia,1311,68
72235760,United Kingdom,1305,85
26565946,United States,1304,36
264231189,Singapore,1302,56
14589119,Malaysia,1298,9
108568373,United Kingdom,1293,86
184910040,United Kingdom,1290,87
821045162,Pakistan,1290,2
14230524,Australia,1289,69
17715048,Brazil,1283,12
56377143,Indonesia,1283,48
3108351,United Kingdom,1274,88
91478624,United Kingdom,1274,89
10228272,Thailand,1273,8
19617105,United States,1273,37
11348282,United States,1271,38
297169759,United States,1270,39
14594813,Brazil,1269,13
19562228,Australia,1269,70
26565946,Singapore,1269,57
19106719,Thailand,1267,9
759251,China,1265,10
17919972,United Kingdom,1265,90
26565946,Australia,1264,71
27067896,United Kingdom,1264,91
17093617,Australia,1263,72
17919972,China,1262,11
788524,United Kingdom,1260,92
9317502,Brazil,1258,14
14230524,United Kingdom,1258,93
49573859,United Kingdom,1258,94
185314895,United Kingdom,1257,95
18332190,Greece,1256,2
20168940,Singapore,1254,58
16343974,United Kingdom,1253,96
816653,Singapore,1252,59
180505807,United Kingdom,1250,97
21401523,United States,1244,40
19397785,Indonesia,1240,49
45621423,Pakistan,1240,3
91478624,Australia,1240,73
10933662,United Kingdom,1239,98
15378041,United States,1236,41
22536055,Netherlands,1236,6
742143,China,1233,12
4898091,United Kingdom,1232,99
20536157,United States,1232,42
297169759,Singapore,1230,60
14677919,Australia,1229,74
15846407,United Kingdom,1227,100
813286,Thailand,1226,10
497665754,Malaysia,1224,10
28776864,Singapore,1222,61
92424604,Australia,1220,75
16409683,United States,1219,43
124476322,Brazil,1219,15
8161232,United States,1218,44
133880286,Australia,1216,76
20626359,Netherlands,1211,7
807095,China,1208,13
77888423,Singapore,1208,62
21447363,China,1205,14
37874853,China,1205,15
759251,Indonesia,1202,50
91478624,United States,1201,45
31015988,Malaysia,1198,11
87818409,Australia,1195,77
54341363,Brazil,1192,16
54524468,Singapore,1192,63
25365536,Australia,1190,78
14293310,Indonesia,1189,51
783214,Malaysia,1187,12
10228272,Brazil,1187,17
18040230,Malaysia,1184,13
45621423,Greece,1183,3
20609518,United States,1182,46
17919972,Indonesia,1181,52
22536055,Australia,1181,79
79293791,United States,1181,47
8161232,Singapore,1179,64
32347983,Singapore,1179,65
428333,Malaysia,1176,14
15846407,China,1175,16
124476322,Netherlands,1174,8
27260086,United States,1173,48
45621423,Thailand,1173,11
18909186,Netherlands,1170,9
36184220,Australia,1169,80
52471614,Brazil,1168,18
21366823,Singapore,1166,66
2253325604,Japan,1166,2
1307120064,Thailand,1165,12
269148983,Singapore,1163,67
51241574,Singapore,1159,68
2097571,United States,1153,49
813286,Malaysia,1152,15
5402612,China,1152,17
57261519,Thailand,1148,13
16898427,Malaysia,1142,16
60586908,Brazil,1142,19
87400034,Singapore,1141,69
14511951,Singapore,1140,70
16898427,Netherlands,1140,10
7212562,United States,1138,50
16898427,Brazil,1136,20
18332190,Thailand,1136,14
123167035,Singapore,1135,71
6017542,Australia,1130,81
21401523,Brazil,1128,21
122453931,Pakistan,1128,4
218730857,Brazil,1128,22
6017542,Singapore,1126,72
813286,Brazil,1124,23
14159148,Australia,1123,82
15066760,United States,1121,51
297169759,Thailand,1120,15
166739404,Australia,1117,83
1543661,Singapore,1116,73
78264667,Thailand,1116,16
51241574,Australia,1114,84
304467186,Japan,1114,3
783214,Thailand,1113,17
807095,Indonesia,1113,53
38400130,China,1112,18
50393960,Pakistan,1112,5
142393421,Brazil,1111,24
106062176,Brazil,1110,25
821045162,Greece,1109,4
16211434,Australia,1103,85
85603854,United States,1097,52
18909186,Greece,1095,5
2467791,United States,1094,53
6741632,Brazil,1093,26
11348282,Singapore,1092,74
66555688,Singapore,1092,75
16678443,Singapore,1091,76
2097571,Singapore,1090,77
19106719,Singapore,1088,78
25365536,United States,1088,54
50393960,Indonesia,1087,54
106062176,United States,1086,55
14159148,United States,1085,56
51241574,United States,1084,57
218730857,Netherlands,1082,11
5402612,Pakistan,1080,6
5920532,Netherlands,1080,12
18332190,Pakistan,1079,7
14213711,Brazil,1071,27
23439654,Brazil,1069,28
5402612,Indonesia,1067,55
1839871,Malaysia,1064,17
42420346,Thailand,1064,18
21425125,Thailand,1063,19
361812836,Singapore,1063,79
428333,Thailand,1059,20
6017542,United States,1058,58
742143,Indonesia,1054,56
218730857,Thailand,1053,21
47363197,Thailand,1052,22
20609518,Singapore,1048,80
18219976,Brazil,1046,29
813286,Netherlands,1045,13
1041453240,Pakistan,1045,8
21207962,Brazil,1042,30
444413055,Singapore,1040,81
27260086,Indonesia,1039,57
55186601,Malaysia,1039,18
21401523,Australia,1038,86
297169759,Malaysia,1037,19
260907612,Netherlands,1034,14
43023158,Brazil,1033,31
50393960,China,1033,19
14749606,Singapore,1030,82
19273963,Indonesia,1028,58
821045162,Thailand,1023,23
12397052,Australia,1018,87
5402612,Malaysia,1017,20
18211861,Thailand,1016,24
30313925,United States,1016,59
63070483,Malaysia,1014,21
16365636,United States,1011,60
15492359,Singapore,1009,83
17300623,Singapore,1009,84
56377143,Greece,1009,6
79293791,Singapore,1009,85
124476322,Indonesia,1009,59
759251,Malaysia,1008,22
16409683,Singapore,1008,86
38676903,Netherlands,1007,15
5402612,Netherlands,1006,16
807095,Brazil,1004,32
783214,Pakistan,1001,9
26243008,Singapore,1000,87
14749340,Singapore,999,88
20626359,Brazil,997,33
55507370,Thailand,997,25
807095,Pakistan,996,10
2097571,Australia,996,88
18332190,China,996,20
158487331,Brazil,996,34
17240425,Brazil,995,35
57905993,Malaysia,995,23
166739404,United States,993,61
16365636,Singapore,992,89
29797128,Brazil,992,36
260907612,Australia,988,89
742143,Pakistan,986,11
20536157,Indonesia,981,60
343627165,Singapore,981,90
106669711,Malaysia,979,24
21401523,Japan,978,4
133880286,United States,978,62
21401523,Netherlands,977,17
16898427,Japan,975,5
77210708,Brazil,975,37
210792232,Pakistan,974,12
2467791,Australia,973,90
16898427,Hong Kong,973,1
14502789,Brazil,972,38
18909186,Thailand,972,26
14589119,Singapore,969,91
1344951,Singapore,968,92
297169759,China,968,21
382267114,Indonesia,967,61
813286,Pakistan,965,13
73287339,Indonesia,965,62
195646956,Malaysia,965,25
19013879,Singapore,963,93
121199319,Malaysia,962,26
428333,Pakistan,961,14
27874816,Singapore,959,94
366987179,Thailand,958,27
14614833,Brazil,957,39
160391541,Singapore,956,95
40844176,Singapore,955,96
783214,Brazil,953,40
5920532,Australia,953,91
19106719,Netherlands,953,18
759251,Pakistan,952,15
742143,Malaysia,951,27
15425377,United States,951,63
56377143,Australia,950,92
52584545,Malaysia,947,28
88856792,Pakistan,945,16
1344951,Australia,944,93
14589119,Iraq,944,1
23375688,United States,944,64
45621423,China,942,22
1052586019,Pakistan,941,17
265205959,Japan,940,6
14511951,United States,939,65
352145373,Singapore,937,97
